order,family,genus,base,elev,method,mass
Artiodactyla,Bovidae,Aepyceros melampus,7,54,,52500
Artiodactyla,Bovidae,Bison bison,,29,LC,579255
Artiodactyla,Bovidae,Bison bonasus,5,37,"RIA, LC",800000
Artiodactyla,Bovidae,Bos taurus,15,44,RIA,900000
Artiodactyla,Bovidae,Capra hircus,17,,RIA,29860
Artiodactyla,Bovidae,Connochaetes taurinus,,20,RIA,179999
Artiodactyla,Bovidae,Damaliscus lunatus,,37,RIA,136000
Artiodactyla,Bovidae,Damaliscus pygargus,,31,RIA,61000
Artiodactyla,Bovidae,Hippotragus equinus,8,49,,269998
Artiodactyla,Bovidae,Hippotragus niger,,31,RIA,227499
Artiodactyla,Bovidae,Kobus ellipsiprymnus,,95,RIA,210000
Artiodactyla,Bovidae,Oreamnos americanus,,34,LC,72500
Artiodactyla,Bovidae,Ovibos moschatus,13,57,RIA,368502
Artiodactyla,Bovidae,Ovis aries,15,66,RIA,100000
Artiodactyla,Bovidae,Ovis canadensis,6,63,RIA,74645
Artiodactyla,Bovidae,Sylvicapra grimmia,,21,RIA,19500
Artiodactyla,Bovidae,Syncerus caffer,16,42,RIA,580003
Artiodactyla,Bovidae,Taurotragus oryx,,28,RIA,569994
Artiodactyla,Bovidae,Tragelaphus angasii,,85,RIA,86600
Artiodactyla,Bovidae,Tragelaphus scriptus,,32,RIA,43250
Artiodactyla,Bovidae,Tragelaphus strepsiceros,,46,RIA,213501
Artiodactyla,Camelidae,Camelus bactrianus,,33,LC,690000
Artiodactyla,Camelidae,Camelus dromedarius,,46,RIA,800000
Artiodactyla,Camelidae,Vicugna vicugna,13,59,RIA,31500
Artiodactyla,Cervidae,Alces alces ,15,93,,358996
Artiodactyla,Cervidae,Axis axis,,47,RIA,69500
Artiodactyla,Cervidae,Cervus elaphus,16,103,RIA,156250
Artiodactyla,Cervidae,Cervus timorensis,4,113,RIA,100000
Artiodactyla,Cervidae,Hydropotes inermis,5,49,RIA,13500
Artiodactyla,Cervidae,Odocoileus virginianus,31,85,CPB,55509
Artiodactyla,Cervidae,Pudu puda,4,27,RIA,9750
Artiodactyla,Cervidae,Rangifer tarandus,11,65,RIA,86034
Artiodactyla,Giraffidae,Giraffa camelopardalis,,45,RIA,899995
Artiodactyla,Suidae,Sus scrofa domesticus,55,110,RIA,60000
Carnivora,Canidae,Canis lupus dingo ,25,82,DI,16800
Carnivora,Canidae,Lycaon pictus,41,121,RIA,22050
Carnivora,Canidae,Nyctereutes procyonoides,,15,RIA,5387
Carnivora,Felidae,Acinonyx jubatus,29,286,RIA,50000
Carnivora,Felidae,Panthera pardus,379,536,RIA,55000
Carnivora,Felidae,Panthera tigris,131,242,RIA,200000
Carnivora,Felidae,Puma concolor,123,723,RIA,51600
Carnivora,Mustelidae,Martes americana,15,39,RIA,884
Carnivora,Phocidae,Mirounga angustirostris,,80,RIA,1481000
Carnivora,Ursidae,Ursus americanus,,72,,65250
Carnivora,Ursidae,Ursus arctos,53,80,,139441
Carnivora,Ursidae,Ursus maritimus,,84,RIA,352501
Cetacea,Balaenopteridae,Balaenoptera acutorostrata,,18,RIA,10000000
Cetacea,Balaenopteridae,Balaenoptera borealis,,11,RIA,20000000
